Stock,Feature Group,MAE,MSE,RMSE,Adjusted_R2,CRPS,QL_0.1,QL_0.5,QL_0.9,Num Features
Logitech_0QK6.LON,Macro,0.00285662359410646,1.3800731784106198e-05,0.0037149336177253827,,0.0018153386700664332,0.0008610871735176065,0.00142831179705323,0.0008206359075420163,4
Logitech_0QK6.LON,Peers,0.0033701137855257765,1.8990366478011196e-05,0.004357793762675237,,0.0020593426494590382,0.0010454457367917516,0.0016850568927628882,0.0007327971013300679,4
Lonza_0QNO.LON,Baseline (Target Only),0.006900069405328941,5.984359305438256e-05,0.007735864079363246,-3.340693467115699,0.004414468227628363,0.002677187197976098,0.0034500347026644707,0.0014589139657658658,0
Lonza_0QNO.LON,Technicals,0.006907530230474186,6.0485938141327996e-05,0.007777270610010172,-7.774570614563029,0.004349239057603968,0.0025151493820774412,0.003453765115237093,0.0014504180314582904,2
Lonza_0QNO.LON,Macro,0.007005694237541866,6.225713026866571e-05,0.007890318768507754,,0.004343171543184411,0.0021722859564649913,0.003502847118770933,0.0016799486639541704,4
Lonza_0QNO.LON,Peers,0.0067981091411826134,5.770871985528717e-05,0.00759662555713306,,0.004079602821472777,0.001896269270353303,0.0033990545705913067,0.001504628642146023,4
Nestle_NSRGY,Baseline (Target Only),0.002066228172924011,6.0869380392602845e-06,0.002467172073297743,-142.76928101736382,0.0014453426626308318,0.0003957929188597886,0.0010331140864620054,0.0011513355647932797,0
Nestle_NSRGY,Technicals,0.0016226657608263803,3.203350537441146e-06,0.0017897906406731336,-150.32186351956594,0.0011358751147136335,0.0003441237850326984,0.0008113328804131902,0.000872898240925005,2
Nestle_NSRGY,Macro,0.0031176782155149293,1.0351036178747965e-05,0.0032173026246761376,,0.0018927712119266634,0.0003468310373116224,0.0015588391077574646,0.0012674187769901066,4
Nestle_NSRGY,Peers,0.002250859228681834,5.790021485393576e-06,0.0024062463476114777,,0.0014889961346134786,0.00035184685198850324,0.001125429614340917,0.0011197842558633595,4
Novartis_0QLR.LON,Baseline (Target Only),0.002281994812075118,8.930003636520283e-06,0.0029883111679542816,0.7218553094682248,0.0015175982087388912,0.0005613383679760933,0.001140997406037559,0.0009506623417960167,0
Novartis_0QLR.LON,Technicals,0.002545370973531226,1.1368060111729068e-05,0.003371655396348961,0.2918333092738563,0.001485153128160564,0.00040675076014533035,0.001272685486765613,0.0007607610867248534,2
Novartis_0QLR.LON,Macro,0.00263350994486848,1.0456863002011578e-05,0.0032337073154525874,,0.0016313882551063676,0.0004941496747656106,0.00131675497243424,0.0009508110181318282,4
Novartis_0QLR.LON,Peers,0.0025797337030295476,8.091245513271977e-06,0.002844511471812335,,0.0015429280555714743,0.0005983256857021093,0.0012898668515147738,0.0006792607501970291,4
Partners_Group_0QOQ.LON,Baseline (Target Only),0.0029949573369726333,1.2028233268855272e-05,0.0034681743423385265,0.3094066241504717,0.0017943368610490425,0.0005249825910531575,0.0014974786684863167,0.0009659022245968151,0
Partners_Group_0QOQ.LON,Technicals,0.0033216602670058403,1.2083287001030976e-05,0.00347610227137105,-0.3875085018524691,0.0018730893410009064,0.0004338532172941262,0.0016608301335029202,0.0009272098682022994,2
Partners_Group_0QOQ.LON,Macro,0.0039577533992036975,1.7001585677064127e-05,0.004123297912722791,,0.002150911530033938,0.0004097210288845593,0.0019788766996018487,0.001009804396996588,4
Partners_Group_0QOQ.LON,Peers,0.0029805680306657944,1.2743333369856637e-05,0.0035697805772703507,,0.0017991875913489922,0.0005536106274329716,0.0014902840153328972,0.0009637903202737141,4
Roche_RHO6.FRK,Baseline (Target Only),0.010944191582354577,0.00012497031923593455,0.011179012444573741,-0.47524015231546746,0.006806248462547678,0.004335004712693659,0.005472095791177288,0.0017364248613209604,0
Roche_RHO6.FRK,Technicals,0.010887874878796607,0.00012335040398484765,0.011106322703075381,-1.9122349990837852,0.006486601597418207,0.003555189396493403,0.005443937439398304,0.0017734397182555075,2
Roche_RHO6.FRK,Macro,0.013419389195593864,0.00020074558420887946,0.014168471484563162,,0.009047517723192592,0.007196805502526729,0.006709694597796932,0.0020025996098608848,4
Roche_RHO6.FRK,Peers,0.01031917578712371,0.00011125014223912614,0.01054751829764358,,0.00611027943480227,0.003208168621413676,0.005159587893561855,0.0017483541784682898,4
Sika_0Z4C.LON,Baseline (Target Only),0.00509182270241842,2.778526650563577e-05,0.005271173162175169,-1.0407345893487192,0.002627860723428191,0.0009196915603350532,0.00254591135120921,0.0005581375458170041,0
Sika_0Z4C.LON,Technicals,0.005459292601774785,3.313682789727598e-05,0.005756459666954679,-3.867577632019503,0.002878656624249877,0.0011451162896226777,0.0027296463008873923,0.000592232669227229,2
Sika_0Z4C.LON,Macro,0.005130687724779698,2.9009726629877944e-05,0.005386067826334713,,0.002517781583957137,0.0008464537314247028,0.002565343862389849,0.00031731250368844126,4
Sika_0Z4C.LON,Peers,0.0063599482141242945,4.7038054497618345e-05,0.006858429448322578,,0.0031627119058273254,0.0010808851881991758,0.0031799741070621473,0.00046594636224484253,4
Swisscom_0QKI.LON,Baseline (Target Only),0.0018044833959598894,4.636432480516162e-06,0.0021532376739496644,-3.7133800401295396,0.00105734276009115,0.00030158371411488394,0.0009022416979799447,0.0005372897901531014,0
Swisscom_0QKI.LON,Technicals,0.0015852894568403118,3.582976045949593e-06,0.0018928750740473056,-6.284880282505908,0.0009545237047723176,0.0002983778037898336,0.0007926447284201559,0.0005026420013006484,2
Swisscom_0QKI.LON,Macro,0.0022251901151199693,6.332524922058351e-06,0.0025164508582641446,,0.001326262671326721,0.0002980309326969181,0.0011125950575599846,0.0007924356304999146,4
Swisscom_0QKI.LON,Peers,0.0018319637449045532,4.777584622623171e-06,0.0021857686571600324,,0.0010811012944332006,0.0002480631482623611,0.0009159818724522766,0.0006227263429160867,4
Swiss_Life_0QMG.LON,Baseline (Target Only),0.002067193183788887,8.329722279071638e-06,0.0028861258252320943,-0.6554683578867857,0.0014317437125678629,0.000576413317746995,0.0010335965918944435,0.0009357527798837747,0
Swiss_Life_0QMG.LON,Technicals,0.0012251149829851332,4.781520940692513e-06,0.00218666891428321,-0.9005811609776089,0.0009831889198352434,0.00041399781329142855,0.0006125574914925666,0.0008188595033115472,2
Swiss_Life_0QMG.LON,Macro,0.0017243007009121094,5.854069270300662e-06,0.002419518396355081,,0.0012752371741767494,0.0006147882036637048,0.0008621503504560547,0.000849004030866059,4
Swiss_Life_0QMG.LON,Peers,0.0014783776932091462,4.654516252328997e-06,0.002157432792076962,,0.0010369096043438934,0.0004901031844090204,0.0007391888466045731,0.0006237931332415665,4
UBS_UBS,Baseline (Target Only),0.005316082162810065,4.038961575224543e-05,0.006355282507665999,-0.8135030131862395,0.00277616572666244,0.0010589372908403874,0.0026580410814050323,0.0005653948630056484,0
UBS_UBS,Technicals,0.004580161867690779,3.5937426782912916e-05,0.005994783297410584,-2.227197414144709,0.002651484400610032,0.0010037517530550957,0.0022900809338453894,0.0010447973807792056,2
UBS_UBS,Macro,0.005543905643773771,4.2276097981176625e-05,0.00650200722709354,,0.0028321161447771026,0.001064499894314051,0.0027719528218868856,0.0004718848238549335,4
UBS_UBS,Peers,0.004734621902955271,3.228726079691812e-05,0.005682188029000636,,0.0024719135119326543,0.0009794915450444222,0.0023673109514776355,0.0004656703318319423,4
Zurich_Insurance_0QP2.LON,Baseline (Target Only),0.001961440814790014,5.958150091146648e-06,0.0024409322176469073,0.15020535315905303,0.001145490675471975,0.0003512551227903108,0.000980720407395007,0.0005510307510996121,0
Zurich_Insurance_0QP2.LON,Technicals,0.0016804026794998682,6.395683051254006e-06,0.0025289687722971207,-0.8243975518250355,0.001030445806079386,0.0003715370932912569,0.0008402013397499341,0.0005241747424073398,2
Zurich_Insurance_0QP2.LON,Macro,0.0023225227726070916,7.0209293929635685e-06,0.0026497036424784504,,0.0013080173845034888,0.00031809600884537216,0.0011612613863035458,0.000629424679806258,4
Zurich_Insurance_0QP2.LON,Peers,0.0018542008829681908,6.271855177641971e-06,0.0025043672210045336,,0.0010746614256434426,0.0003187114337777834,0.0009271004414840954,0.0005137412473626315,4
