stock,features,n_features,mae,mse,rmse,r2,time
Alcon_0A0D.LON,parkinson_vol_lag_3,1,0.004815422883579196,5.571720844383399e-05,0.0074643960535219454,0.5135687765957027,0.11065912246704102
Alcon_0A0D.LON,return_lag_1,1,0.0059412315510249765,0.00010110468965007922,0.010055082776888474,0.11731977871833887,0.09687972068786621
Alcon_0A0D.LON,return_lag_2,1,0.005942089688721767,0.00010343596046559161,0.010170347116278363,0.09696694794040128,0.12770676612854004
Alcon_0A0D.LON,return_lag_3,1,0.005960118367814734,0.00010245510794215399,0.010122011062143431,0.10553014244135894,0.12769579887390137
Alcon_0A0D.LON,log_return_lag_1,1,0.005935302901733422,0.00010077253709407565,0.010038552539787578,0.12021958972262747,0.09465479850769043
Alcon_0A0D.LON,log_return_lag_2,1,0.005936047617884939,0.00010321910667536886,0.010159680441597011,0.09886015934535242,0.09119749069213867
Alcon_0A0D.LON,log_return_lag_3,1,0.005954793152839901,0.00010227738361843703,0.01011322815022172,0.10708173956240796,0.0966343879699707
Alcon_0A0D.LON,abs_log_return_lag_1,1,0.0030852693071469453,2.2624798412079688e-05,0.004756553207111183,0.8024773911284953,0.11221694946289062
Alcon_0A0D.LON,abs_log_return_lag_2,1,0.0031946670324437495,2.1194332499498377e-05,0.004603730280924196,0.8149658718569671,0.09073662757873535
Alcon_0A0D.LON,abs_log_return_lag_3,1,0.003277016012595172,2.4279254252044415e-05,0.00492739832488144,0.7880333979569119,0.1000216007232666
Alcon_0A0D.LON,range_t_lag_1,1,0.004754671316323423,5.179348748440038e-05,0.007196769239346248,0.5478242685684991,0.08004140853881836
Alcon_0A0D.LON,range_t_lag_2,1,0.0047433493652416035,5.3479762287752906e-05,0.0073129858667819745,0.533102484428551,0.08977317810058594
Alcon_0A0D.LON,range_t_lag_3,1,0.004759601837465578,5.380629630972099e-05,0.007335277520974989,0.5302517252425596,0.17479372024536133
Alcon_0A0D.LON,body_lag_1,1,0.0063703894342161576,0.0001204137220149405,0.010973318641821193,-0.0512550027239298,0.17177724838256836
Alcon_0A0D.LON,body_lag_2,1,0.006388219512900079,0.00012122958531440801,0.011010430750629515,-0.058377782094520825,0.09703230857849121
Alcon_0A0D.LON,body_lag_3,1,0.006217424628758614,0.00011503600066702739,0.010725483703172896,-0.0043055656029056255,0.08255958557128906
Alcon_0A0D.LON,upper_wick_lag_1,1,0.006435147152509505,0.00012019229432340792,0.010963224631622208,-0.049321859519234845,0.09504866600036621
Alcon_0A0D.LON,upper_wick_lag_2,1,0.006305793476389359,0.00011610629710407052,0.01077526320347074,-0.013649637565896544,0.08176827430725098
Alcon_0A0D.LON,upper_wick_lag_3,1,0.0063423901707250555,0.00011709798537391833,0.01082118225398308,-0.022307432021339224,0.10828471183776855
Alcon_0A0D.LON,lower_wick_lag_1,1,0.006057664796226271,0.00010205916346954565,0.010102433541951446,0.10898687976884369,0.10172796249389648
Alcon_0A0D.LON,lower_wick_lag_2,1,0.006013158664050473,0.00010181772542599262,0.010090476967219767,0.11109472052723746,0.08675050735473633
Alcon_0A0D.LON,lower_wick_lag_3,1,0.006150317386063703,0.00010843752328178878,0.010413333917712847,0.053301509782839096,0.09458398818969727
Alcon_0A0D.LON,vol_5_mean,1,0.006997409149241585,0.00011891411099496597,0.010904774687950501,-0.038162860395727805,0.1249232292175293
Alcon_0A0D.LON,vol_20_mean,1,0.006604957758623651,0.00012526186169659748,0.011192044571774966,-0.09358100186225027,0.11543393135070801
Alcon_0A0D.LON,FEDERAL_FUNDS_RATE,1,0.006471359309646118,0.0001242697678577996,0.011147635079145693,-0.08491966664433814,0.10275030136108398
Alcon_0A0D.LON,INFLATION,1,0.006542650661679507,0.00012918085936525792,0.011365775792494674,-0.12779525781168033,0.12137508392333984
Alcon_0A0D.LON,REAL_GDP,1,0.006586636972248444,0.0001285219809563886,0.01133675354571972,-0.12204301286882635,0.11269879341125488
Alcon_0A0D.LON,REAL_GDP_PER_CAPITA,1,0.00666871833666694,0.0001345289203021436,0.011598660280486863,-0.17448574890102564,0.08973217010498047
Alcon_0A0D.LON,CPI,1,0.00677330190760981,0.0001383256410984299,0.011761192163145277,-0.2076324838765191,0.11982226371765137
Alcon_0A0D.LON,FTSE_100,1,0.006366160884732127,0.0001239190445495975,0.011131893125142619,-0.08185772630938515,0.10169696807861328
Alcon_0A0D.LON,SP500,1,0.00695882410149847,0.0001419057029966181,0.011912418016365027,-0.2388877089252448,0.085784912109375
Alcon_0A0D.LON,EUROSTOXX_50,1,0.006910854037252047,0.00013895412244670203,0.011787880320341823,-0.2131193515726093,0.1060488224029541
Alcon_0A0D.LON,Peer_Sika_close,1,0.009180713151339196,0.00016314598441187353,0.012772861246090225,-0.4243229875912502,0.16727375984191895
Alcon_0A0D.LON,Peer_Sika_return,1,0.006426185217411223,0.00012345115538598916,0.01111085754503176,-0.07777288601267451,0.1123964786529541
